,Case,acqlabel,acq_id,PhaseEncodingDirection_fmap,EffectiveEchoSpacing_fmap,TotalReadoutTime_fmap,RepetitionTime_fmap,EchoTime_fmap
218,sub-NDARTX659HAF/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df449ffd56695006cc0beb4,j,0.000550001,0.04565,5.301,0.0512
219,sub-NDARTZ926NMZ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df44a70d566950078c11f44,j-,0.000550001,0.04565,5.301,0.0512
220,sub-NDARUA481FK4/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df44a82d566950078c11f48,j,0.000550001,0.04565,5.301,0.0512
221,sub-NDARUE533XNH/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df44b02d56695006cc0bec8,j,0.000550001,0.04565,5.301,0.0512
222,sub-NDARUJ891VL9/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df44b7dd56695006cc0bee8,j-,0.000550001,0.04565,5.301,0.0512
223,sub-NDARUL224GN6/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df44c26d566950059c059e1,j,0.000550001,0.04565,5.301,0.0512
224,sub-NDARUN300FG1/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df44d32d56695006cc0bf21,j,0.000550001,0.04565,5.301,0.0512
225,sub-NDARUT607MWK/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df44df7d56695006cc0bf3c,j,0.000550001,0.04565,5.301,0.0512
226,sub-NDARUV263YB5/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df44e8fd566950078c1202d,j,0.000550001,0.04565,5.301,0.0512
227,sub-NDARUW816MP3/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df44f2fd56695005bc076be,j-,0.000550001,0.04565,5.301,0.0512
228,sub-NDARUX216VHK/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df44fbad566950078c12060,j,0.000550001,0.04565,5.301,0.0512
229,sub-NDARVB297WUM/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df4503bd56695005bc076d5,j,0.000550001,0.04565,5.301,0.0512
230,sub-NDARVD685RRJ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df450ebd566950057c03e17,j,0.000550001,0.04565,5.301,0.0512
