,Case,acqlabel,acq_id,PhaseEncodingDirection_dwi,EffectiveEchoSpacing_dwi,TotalReadoutTime_dwi,RepetitionTime_dwi,EchoTime_dwi
38,sub-NDARTW855BPJ/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df448d5d566950078c11ee1,j-,0.000414993,0.0427443,3.32,0.1002
39,sub-NDARVP135ZGE/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df45163d56695006cc0bfc7,j-,0.000414993,0.0427443,3.32,0.1002
40,sub-NDARVV174JHW/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df452edd56695006cc0c003,j-,0.000414993,0.0427443,3.32,0.1002
41,sub-NDARXK076XU8/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df45f15d566950078c12225,j-,0.000414993,0.0427443,3.32,0.1002
42,sub-NDARYD546HCB/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df465efd56695006cc0c134,j-,0.000414993,0.0427443,3.32,0.1002
43,sub-NDARYG546ZFF/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df466fdd56695006cc0c152,j-,0.000414993,0.0427443,3.32,0.1002
44,sub-NDARYL124VM6/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4681dd566950059c05abc,j-,0.000414993,0.0427443,3.32,0.1002
45,sub-NDARYR829KD8/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4695ad566950078c12315,j-,0.000414993,0.0427443,3.32,0.1002
46,sub-NDARZA694WHF/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df46af6d566950078c12342,j-,0.000414993,0.0427443,3.32,0.1002
47,sub-NDARZJ016GL0/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df46ea3d56695006cc0c1be,j-,0.000414993,0.0427443,3.32,0.1002
48,sub-NDARZP630WYL/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df47112d566950078c123d4,j-,0.000414993,0.0427443,3.32,0.1002
49,sub-NDARAA948VFH/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de82c4340116e0057bca7fa,j-,0.000414993,0.0427443,3.32,0.1002
50,sub-NDARAC853DTE/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8397c40116e0058c4f593,j-,0.000414993,0.0427443,3.32,0.1002
51,sub-NDARAG340ERT/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8437840116e005bcf9075,j-,0.000414993,0.0427443,3.32,0.1002
52,sub-NDARAH948UF0/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de846c640116e0058c4f78f,j-,0.000414993,0.0427443,3.32,0.1002
53,sub-NDARAM675UR8/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de84a6540116e005bcf9167,j-,0.000414993,0.0427443,3.32,0.1002
54,sub-NDARAP782TVC/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8511b40116e005bcf92e2,j-,0.000414993,0.0427443,3.32,0.1002
55,sub-NDARAT581NDH/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de855c140116e005bcf9390,j-,0.000414993,0.0427443,3.32,0.1002
56,sub-NDARAV610EY3/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de85e1940116e005bcf9526,j-,0.000414993,0.0427443,3.32,0.1002
57,sub-NDARAW179AYF/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de85f3a40116e005bcf9554,j-,0.000414993,0.0427443,3.32,0.1002
58,sub-NDARBC734UVY/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8684c40116e005bcf9733,j-,0.000414993,0.0427443,3.32,0.1002
59,sub-NDARBE123PWH/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de868de40116e0058c4fb50,j-,0.000414993,0.0427443,3.32,0.1002
60,sub-NDARBF176LPM/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de86ab640116e005bcf97a2,j-,0.000414993,0.0427443,3.32,0.1002
61,sub-NDARBG574KF4/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de86ffa40116e005bcf9856,j-,0.000414993,0.0427443,3.32,0.1002
62,sub-NDARBJ159HXB/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8743640116e0058c4fc8a,j-,0.000414993,0.0427443,3.32,0.1002
63,sub-NDARCH881EFG/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8a40940116e005bcfa1fd,j-,0.000414993,0.0427443,3.32,0.1002
64,sub-NDARCK647MU6/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8a95540116e0058c501d5,j-,0.000414993,0.0427443,3.32,0.1002
65,sub-NDARCL016NHB/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8abaf40116e0054b7bf15,j-,0.000414993,0.0427443,3.32,0.1002
66,sub-NDARCL105LUE/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8ac4e40116e005bcfa3b8,j-,0.000414993,0.0427443,3.32,0.1002
67,sub-NDARCU118LMX/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8b77540116e0054b7bf54,j-,0.000414993,0.0427443,3.32,0.1002
68,sub-NDARCU865PBV/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8baf340116e005bcfa64a,j-,0.000414993,0.0427443,3.32,0.1002
69,sub-NDARCV944JA6/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8bdfc40116e005bcfa6c3,j-,0.000414993,0.0427443,3.32,0.1002
70,sub-NDARCW611MK5/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8c17a40116e0058c503d9,j-,0.000414993,0.0427443,3.32,0.1002
71,sub-NDARCW933FD5/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8c31f40116e0057bcb079,j-,0.000414993,0.0427443,3.32,0.1002
72,sub-NDARCX053GU5/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8c51140116e0057bcb0a9,j-,0.000414993,0.0427443,3.32,0.1002
73,sub-NDARDF373ZDW/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8de1540116e005bcfac02,j-,0.000414993,0.0427443,3.32,0.1002
74,sub-NDARDH270YR5/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8e31f40116e0057bcb246,j-,0.000414993,0.0427443,3.32,0.1002
75,sub-NDARDP786HE6/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8eb2440116e005bcfae7d,j-,0.000414993,0.0427443,3.32,0.1002
76,sub-NDARDR067YMC/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8ebca40116e0058c507f2,j-,0.000414993,0.0427443,3.32,0.1002
77,sub-NDARDT528ZZJ/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8f3dd40116e0057bcb34f,j-,0.000414993,0.0427443,3.32,0.1002
78,sub-NDARDW416KWZ/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8fa4840116e0054b7c0c6,j-,0.000414993,0.0427443,3.32,0.1002
79,sub-NDARDY150ZP9/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de8fe8240116e0054b7c0f5,j-,0.000414993,0.0427443,3.32,0.1002
80,sub-NDAREF164ZUJ/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de9110f40116e005bcfb6ce,j-,0.000414993,0.0427443,3.32,0.1002
81,sub-NDAREH074NG8/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de9174140116e005bcfb83b,j-,0.000414993,0.0427443,3.32,0.1002
82,sub-NDAREK801BPB/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de91db040116e0058c50e04,j-,0.000414993,0.0427443,3.32,0.1002
83,sub-NDARFB908HVX/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de9421840116e005bcfc5cb,j-,0.000414993,0.0427443,3.32,0.1002
84,sub-NDARFK477WX9/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de963b940116e005bcfcdf7,j-,0.000414993,0.0427443,3.32,0.1002
85,sub-NDARGK736HF4/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4741cd566950078c12428,j-,0.000414993,0.0427443,3.32,0.1002
86,sub-NDARGT682ZWN/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df475a5d566950059c05af2,j-,0.000414993,0.0427443,3.32,0.1002
87,sub-NDARGV781AMW/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df47643d56695006cc0c223,j-,0.000414993,0.0427443,3.32,0.1002
88,sub-NDARGW404GJL/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df476e6d566950059c05b00,j-,0.000414993,0.0427443,3.32,0.1002
89,sub-NDARGY622NG6/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df47781d56695006cc0c23d,j-,0.000414993,0.0427443,3.32,0.1002
